CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Méfait;2018-03-29;jour;26;45.4926955633223;-73.6391198842448
Méfait;2018-03-29;soir;26;45.4892826277176;-73.6314568480458
Vol de véhicule à moteur;2018-03-29;nuit;26;45.4907365938949;-73.6455034755285
Vol dans / sur véhicule à moteur;2018-03-29;jour;27;45.5748677270045;-73.6520210118249
Vol dans / sur véhicule à moteur;2018-03-29;soir;27;45.5730749117244;-73.6416307487285
Introduction;2018-03-29;jour;30;45.558487625659;-73.607376391192
Introduction;2018-03-29;soir;30;45.5671615372058;-73.6125717283004
Méfait;2018-03-29;jour;30;45.5684001517728;-73.5974223806324
Méfait;2018-03-29;jour;30;45.5684001517728;-73.5974223806324
Vols qualifiés;2018-03-29;soir;30;45.5683751338379;-73.641658472964
Méfait;2018-03-29;jour;31;45.5415992790782;-73.6151708497888
Méfait;2018-03-29;nuit;31;45.5409944495658;-73.6157268955841
Méfait;2018-03-29;jour;31;45.547509901115;-73.6024442826138
Méfait;2018-03-29;jour;31;45.547509901115;-73.6024442826138
Méfait;2018-03-29;nuit;31;45.535735852173;-73.6204374823157
Vol de véhicule à moteur;2018-03-29;jour;33;45.5296481743243;-73.6248967141607
Introduction;2018-03-29;soir;35;45.5314143902812;-73.602919546732
Méfait;2018-03-29;soir;35;45.5419614633873;-73.5977633022666
Méfait;2018-03-29;soir;35;45.5424351091911;-73.589784639405
Méfait;2018-03-29;jour;35;45.541810921404;-73.5903300626858
Méfait;2018-03-29;jour;35;45.5406786724429;-73.591305995139
Méfait;2018-03-29;jour;35;45.5424828363293;-73.5881326908681
Introduction;2018-03-29;soir;38;45.5214467287731;-73.5706230232969
Méfait;2018-03-29;jour;38;45.5224237718068;-73.5842595969339
Méfait;2018-03-29;jour;38;45.5300016446982;-73.5779457795394
Méfait;2018-03-29;jour;38;45.5168809812708;-73.5706260154914
Vol dans / sur véhicule à moteur;2018-03-29;soir;38;45.5211762326634;-73.5999004154999
Introduction;2018-03-29;nuit;39;45.5957083990394;-73.6332505531256
